Initializing POSE...  
7 15210 15235
7 15235 15260
7 15260 15285
7 15285 15300
7 15300 15315
7 15315 15330
7 15330 15345
7 15345 15360
7 15360 15385
7 15385 15400
7 15400 15425
7 15425 15440
7 15440 15455
7 15455 15480
7 15480 15505
7 15505 15520
8 15005 15030
8 15030 15045
8 15045 15070
8 15070 15095
8 15095 15110
8 15110 15125
8 15125 15150
8 15150 15175
8 15175 15200
8 15200 15215
8 15215 15230
8 15230 15245
8 15245 15260
8 15260 15275
8 15275 15300
8 15300 15325
8 15325 15350
8 15350 15365
8 15365 15380
8 15380 15395
8 15395 15420
8 15420 15445
8 15445 15460
8 15460 15485
11 14890 14915
11 14915 14940
11 14940 14955
11 14955 14970
11 14970 14995
11 14995 15020
11 15020 15045
11 15045 15070
11 15070 15085
11 15085 15100
11 15100 15125
11 15125 15150
11 15150 15165
11 15165 15190
11 15190 15215
11 15215 15240
11 15240 15255
11 15255 15280
11 15280 15305
11 15305 15330
11 15330 15355
11 15355 15380
11 15380 15395
11 15395 15420
11 15420 15435
11 15435 15460
11 15460 15485
1 15185 15200
1 15200 15215
1 15215 15230
1 15230 15245
1 15245 15260
1 15260 15275
1 15275 15290
1 15290 15315
1 15315 15330
1 15330 15345
1 15345 15360
1 15360 15375
1 15375 15390
1 15390 15415
1 15415 15440
1 15440 15455
1 15455 15480
1 15480 15495
1 15495 15510
1 15510 15525
1 15525 15540
1 15540 15555
1 15555 15580
9 14955 14980
9 14980 14995
9 14995 15020
9 15020 15045
9 15045 15060
9 15060 15085
9 15085 15100
9 15100 15125
9 15125 15140
9 15140 15155
9 15155 15170
9 15170 15185
9 15185 15210
9 15210 15235
9 15235 15260
9 15260 15285
9 15285 15310
9 15310 15335
9 15335 15350
9 15350 15365
9 15365 15380
9 15380 15405
9 15405 15420
9 15420 15445
9 15445 15470
9 15470 15495
9 15495 15520
9 15520 15535
9 15535 15550
9 15550 15565
9 15565 15590
9 15590 15615
9 15615 15630
13 14990 15015
13 15015 15040
13 15040 15065
13 15065 15090
13 15090 15115
13 15115 15140
13 15140 15155
13 15155 15180
13 15180 15205
13 15205 15230
13 15230 15255
13 15255 15280
13 15280 15305
13 15305 15330
13 15330 15355
13 15355 15370
13 15370 15385
13 15385 15410
13 15410 15435
13 15435 15460
13 15460 15485
13 15485 15510
13 15510 15535
13 15535 15550
13 15550 15575
13 15575 15600
2 15240 15255
2 15255 15270
2 15270 15285
2 15285 15300
2 15300 15325
2 15325 15350
2 15350 15365
2 15365 15390
2 15390 15405
2 15405 15430
2 15430 15455
2 15455 15480
2 15480 15495
2 15495 15510
2 15510 15535
2 15535 15560
2 15560 15585
2 15585 15600
2 15600 15615
2 15615 15640
2 15640 15665
2 15665 15680
2 15680 15705
2 15705 15730
2 15730 15745
2 15745 15760
2 15760 15775
2 15775 15800
10 15195 15220
10 15220 15235
10 15235 15250
10 15250 15275
10 15275 15300
10 15300 15325
10 15325 15350
10 15350 15365
10 15365 15380
10 15380 15405
10 15405 15430
10 15430 15455
10 15455 15470
10 15470 15485
10 15485 15500
10 15500 15525
10 15525 15550
10 15550 15575
10 15575 15600
10 15600 15625
10 15625 15650
10 15650 15675
10 15675 15690
10 15690 15715
10 15715 15740
10 15740 15765
0 15500 15515
0 15515 15540
0 15540 15565
0 15590 15615
0 15670 15685
0 15685 15710
0 15710 15735
0 15735 15760
0 15760 15785
3 15485 15500
3 15500 15525
3 15525 15550
3 15550 15575
3 15620 15635
3 15635 15660
3 15660 15685
3 15685 15700
3 15700 15725
3 15795 15820
3 15820 15845
3 15845 15860
3 15860 15885
15 15270 15285
15 15285 15310
15 15310 15325
15 15325 15340
15 15340 15365
15 15365 15390
15 15390 15415
15 15415 15440
15 15440 15465
15 15465 15480
15 15480 15495
15 15495 15520
15 15520 15545
15 15545 15560
15 15560 15575
15 15575 15600
15 15600 15625
15 15625 15650
15 15650 15675
15 15675 15690
15 15690 15715
15 15715 15740
15 15740 15755
15 15755 15770
15 15770 15795
15 15795 15810
15 15810 15835
15 15835 15860
12 15355 15380
12 15380 15395
12 15395 15420
12 15420 15445
12 15445 15460
12 15460 15475
12 15475 15490
12 15490 15515
12 15515 15540
12 15540 15555
12 15555 15580
12 15580 15605
12 15605 15620
12 15620 15645
12 15645 15660
12 15660 15675
12 15675 15690
12 15690 15715
12 15715 15740
12 15740 15765
12 15765 15790
12 15790 15805
12 15805 15830
12 15830 15845
12 15845 15870
12 15870 15885
12 15885 15910
1 15580 15605
1 15605 15620
1 15620 15635
1 15635 15650
1 15650 15665
1 15665 15680
1 15680 15695
1 15695 15710
1 15710 15725
1 15725 15740
1 15740 15755
1 15755 15780
1 15780 15795
1 15795 15820
1 15820 15845
1 15845 15860
1 15860 15875
1 15875 15890
1 15890 15915
1 15915 15940
1 15940 15955
6 15465 15480
6 15480 15495
6 15495 15510
6 15510 15535
6 15535 15560
6 15560 15585
6 15585 15610
6 15610 15635
6 15635 15660
6 15660 15685
6 15685 15710
6 15710 15725
6 15725 15750
6 15750 15765
6 15765 15780
6 15780 15795
6 15795 15810
6 15810 15835
6 15835 15860
6 15860 15885
6 15885 15910
6 15910 15925
6 15925 15940
6 15940 15965
8 15485 15510
8 15510 15535
8 15535 15560
8 15560 15585
8 15585 15610
8 15610 15625
8 15625 15640
8 15640 15655
8 15655 15670
8 15670 15685
8 15685 15710
8 15710 15725
8 15725 15740
8 15740 15755
8 15755 15780
8 15780 15805
8 15805 15830
8 15830 15845
8 15845 15870
8 15870 15895
8 15895 15920
8 15920 15945
8 15945 15970
8 15970 15985
14 15365 15390
14 15390 15405
14 15405 15420
14 15420 15435
14 15435 15460
14 15460 15485
14 15485 15510
14 15510 15525
14 15525 15550
14 15550 15565
14 15565 15580
14 15580 15605
14 15605 15630
14 15630 15655
14 15655 15680
14 15680 15695
14 15695 15720
14 15720 15735
14 15735 15750
14 15750 15775
14 15775 15800
14 15800 15815
14 15815 15840
14 15840 15865
14 15865 15880
14 15880 15905
14 15905 15920
14 15920 15945
14 15945 15970
7 15520 15545
7 15545 15570
7 15570 15585
7 15585 15600
7 15600 15615
7 15615 15640
7 15640 15665
7 15665 15690
7 15690 15705
7 15705 15730
7 15730 15755
7 15755 15770
7 15770 15795
7 15795 15810
7 15810 15825
7 15825 15840
7 15840 15865
7 15865 15880
7 15880 15895
7 15895 15920
7 15920 15945
7 15945 15970
7 15970 15985
7 15985 16010
7 16010 16025
7 16025 16050
7 16050 16075
11 15485 15510
11 15510 15535
11 15535 15560
11 15560 15585
11 15585 15600
11 15600 15615
11 15615 15640
11 15640 15665
11 15665 15690
11 15690 15715
11 15715 15730
11 15730 15745
11 15745 15760
11 15760 15785
11 15785 15810
11 15810 15835
11 15835 15860
11 15860 15875
11 15875 15890
11 15890 15905
11 15905 15920
11 15920 15945
11 15945 15960
11 15960 15985
11 15985 16010
11 16010 16035
11 16035 16060
11 16060 16085
11 16085 16110
0 15925 15940
0 15940 15965
0 15965 15990
0 15990 16015
5 15550 15565
5 15565 15590
5 15590 15615
5 15615 15630
5 15630 15655
5 15655 15680
5 15680 15705
5 15705 15730
5 15730 15745
5 15745 15770
5 15770 15795
5 15795 15820
5 15820 15845
5 15845 15870
5 15870 15895
5 15895 15910
5 15910 15935
5 15935 15960
5 15960 15985
5 15985 16010
5 16010 16025
5 16025 16050
5 16050 16065
5 16065 16080
5 16080 16105
5 16105 16120
5 16120 16135
5 16135 16150
9 15630 15655
9 15655 15670
9 15670 15695
9 15695 15720
9 15720 15745
9 15745 15770
9 15770 15795
9 15795 15820
9 15820 15845
9 15845 15870
9 15870 15895
9 15895 15920
9 15920 15945
9 15945 15970
9 15970 15995
9 15995 16010
9 16010 16025
9 16025 16050
9 16050 16065
9 16065 16090
9 16090 16115
9 16115 16140
9 16140 16165
3 15885 15910
3 15910 15925
3 15925 15940
3 15940 15965
3 16095 16120
3 16135 16160
3 16175 16200
1 15955 15970
1 15970 15985
1 15985 16000
1 16000 16015
1 16015 16040
1 16040 16065
1 16065 16080
1 16080 16095
1 16095 16110
1 16110 16135
1 16135 16150
1 16150 16165
1 16165 16180
1 16180 16195
1 16195 16210
1 16210 16225
1 16225 16240
1 16240 16265
1 16265 16290
1 16290 16305
1 16305 16320
1 16320 16335
10 15765 15780
10 15780 15795
10 15795 15820
10 15820 15835
10 15835 15850
10 15850 15875
10 15875 15900
10 15900 15915
10 15915 15930
10 15930 15955
10 15955 15980
10 15980 16005
10 16005 16020
10 16020 16045
10 16045 16070
10 16070 16095
10 16095 16120
10 16120 16145
10 16145 16160
10 16160 16185
10 16185 16200
10 16200 16225
10 16225 16240
10 16240 16255
10 16255 16280
10 16280 16305
10 16305 16330
0 16185 16210
0 16275 16300
8 15985 16010
8 16010 16025
8 16025 16040
8 16040 16055
8 16055 16070
8 16070 16085
8 16085 16110
8 16110 16125
8 16125 16150
8 16150 16165
8 16165 16180
8 16180 16195
8 16195 16220
8 16220 16235
8 16235 16260
8 16260 16275
8 16275 16290
8 16290 16315
8 16315 16330
8 16330 16345
8 16345 16370
8 16370 16385
8 16385 16410
13 15600 15615
13 15615 15630
13 15630 15655
13 15655 15680
13 15680 15705
13 15705 15720
13 15720 15745
13 15745 15770
13 15770 15795
13 15795 15810
13 15810 15825
13 15825 15840
13 15840 15855
13 15855 15880
13 15880 15905
13 15905 15920
13 15920 15945
13 15945 15970
13 15970 15985
13 15985 16010
13 16010 16035
13 16035 16060
13 16060 16085
13 16085 16110
13 16110 16135
13 16135 16150
13 16150 16175
13 16175 16190
13 16190 16215
13 16215 16230
13 16230 16255
13 16255 16270
13 16270 16295
13 16295 16310
13 16310 16325
13 16325 16350
13 16350 16375
13 16375 16400
15 15860 15875
15 15875 15900
15 15900 15925
15 15925 15950
15 15950 15975
15 15975 15990
15 15990 16015
15 16015 16040
15 16040 16065
15 16065 16090
15 16090 16105
15 16105 16130
15 16130 16145
15 16145 16170
15 16170 16185
15 16185 16210
15 16210 16235
15 16235 16250
15 16250 16265
15 16265 16290
15 16290 16305
15 16305 16320
15 16320 16335
15 16335 16360
15 16360 16385
15 16385 16410
15 16410 16425
15 16425 16450
7 16075 16090
7 16090 16105
7 16105 16130
7 16130 16155
7 16155 16180
7 16180 16195
7 16195 16210
7 16210 16225
7 16225 16250
7 16250 16275
7 16275 16290
7 16290 16305
7 16305 16320
7 16320 16335
7 16335 16350
7 16350 16365
7 16365 16390
7 16390 16415
7 16415 16430
7 16430 16455
7 16455 16480
12 15910 15925
12 15925 15950
12 15950 15975
12 15975 16000
12 16000 16025
12 16025 16050
12 16050 16075
12 16075 16100
12 16100 16115
12 16115 16130
12 16130 16155
12 16155 16170
12 16170 16185
12 16185 16210
12 16210 16225
12 16225 16250
12 16250 16265
12 16265 16290
12 16290 16305
12 16305 16320
12 16320 16345
12 16345 16370
12 16370 16395
12 16395 16420
12 16420 16445
12 16445 16470
12 16470 16495
2 15800 15815
2 15815 15840
2 15840 15855
2 15855 15880
2 15880 15905
2 15905 15930
2 15930 15955
2 15955 15970
2 15970 15985
2 15985 16000
2 16000 16025
2 16025 16050
2 16050 16075
2 16075 16090
2 16090 16105
2 16105 16130
2 16130 16155
2 16155 16180
2 16180 16195
2 16195 16220
2 16220 16245
2 16245 16270
2 16270 16285
2 16285 16310
2 16310 16335
2 16335 16350
2 16350 16365
2 16365 16380
2 16380 16405
2 16405 16430
2 16430 16445
2 16445 16470
2 16470 16495
2 16495 16510
2 16510 16535
6 15965 15980
6 15980 16005
6 16005 16030
6 16030 16055
6 16055 16070
6 16070 16095
6 16095 16120
6 16120 16145
6 16145 16160
6 16160 16185
6 16185 16200
6 16200 16225
6 16225 16240
6 16240 16265
6 16265 16280
6 16280 16305
6 16305 16330
6 16330 16345
6 16345 16360
6 16360 16375
6 16375 16390
6 16390 16415
6 16415 16430
6 16430 16455
6 16455 16470
6 16470 16495
6 16495 16520
6 16520 16545
6 16545 16570
6 16570 16595
11 16110 16135
11 16135 16160
11 16160 16185
11 16185 16210
11 16210 16235
11 16235 16250
11 16250 16275
11 16275 16290
11 16290 16305
11 16305 16330
11 16330 16345
11 16345 16360
11 16360 16385
11 16385 16410
11 16410 16435
11 16435 16460
11 16460 16475
11 16475 16500
11 16500 16515
11 16515 16530
11 16530 16545
11 16545 16560
11 16560 16585
14 15970 15995
14 15995 16020
14 16020 16045
14 16045 16070
14 16070 16095
14 16095 16120
14 16120 16135
14 16135 16160
14 16160 16185
14 16185 16210
14 16210 16235
14 16235 16260
14 16260 16285
14 16285 16310
14 16310 16335
14 16335 16350
14 16350 16365
14 16365 16390
14 16390 16405
14 16405 16430
14 16430 16455
14 16455 16470
14 16470 16495
14 16495 16520
14 16520 16545
14 16545 16560
14 16560 16585
14 16585 16600
14 16600 16625
14 16625 16650
0 16550 16575
0 16605 16630
0 16630 16655
1 16335 16350
1 16350 16365
1 16365 16380
1 16380 16405
1 16405 16420
1 16420 16445
1 16445 16470
1 16470 16485
1 16485 16500
1 16500 16515
1 16515 16530
1 16530 16555
1 16555 16570
1 16570 16595
1 16595 16610
1 16610 16625
1 16625 16640
1 16640 16665
1 16665 16690
3 16240 16265
3 16265 16290
3 16315 16340
3 16340 16365
3 16365 16390
3 16390 16405
3 16405 16430
3 16430 16455
3 16455 16480
3 16480 16505
3 16505 16530
3 16585 16600
3 16600 16615
3 16615 16640
5 16150 16175
5 16175 16200
5 16200 16225
5 16225 16250
5 16250 16265
5 16265 16290
5 16290 16305
5 16305 16320
5 16320 16335
5 16335 16350
5 16350 16375
5 16375 16400
5 16400 16425
5 16425 16450
5 16450 16475
5 16475 16500
5 16500 16525
5 16525 16540
5 16540 16565
5 16565 16580
5 16580 16605
5 16605 16620
5 16620 16635
5 16635 16650
5 16650 16675
5 16675 16690
9 16165 16190
9 16190 16215
9 16215 16240
9 16240 16265
9 16265 16280
9 16280 16305
9 16305 16320
9 16320 16335
9 16335 16350
9 16350 16365
9 16365 16390
9 16390 16415
9 16415 16430
9 16430 16455
9 16455 16480
9 16480 16495
9 16495 16510
9 16510 16535
9 16535 16560
9 16560 16585
9 16585 16610
9 16610 16635
9 16635 16650
9 16650 16665
9 16665 16690
10 16330 16345
10 16345 16360
10 16360 16375
10 16375 16390
10 16390 16415
10 16415 16430
10 16430 16445
10 16445 16460
10 16460 16485
10 16485 16500
10 16500 16525
10 16525 16550
10 16550 16575
10 16575 16600
10 16600 16615
10 16615 16640
10 16640 16665
10 16665 16690
10 16690 16705
10 16705 16720
3 16765 16790
3 16790 16815
3 16815 16840
3 16840 16855
3 16855 16880
3 16880 16905
3 16905 16930
7 16480 16505
7 16505 16530
7 16530 16555
7 16555 16580
7 16580 16605
7 16605 16630
7 16630 16645
7 16645 16670
7 16670 16685
7 16685 16700
7 16700 16715
7 16715 16730
7 16730 16755
7 16755 16770
7 16770 16785
7 16785 16810
7 16810 16835
7 16835 16860
7 16860 16885
7 16885 16910
8 16410 16435
8 16435 16450
8 16450 16475
8 16475 16490
8 16490 16505
8 16505 16520
8 16520 16545
8 16545 16560
8 16560 16585
8 16585 16610
8 16610 16635
8 16635 16650
8 16650 16665
8 16665 16690
8 16690 16715
8 16715 16740
8 16740 16765
8 16765 16780
8 16780 16805
8 16805 16820
8 16820 16835
8 16835 16850
8 16850 16875
8 16875 16900
8 16900 16925
8 16925 16950
0 16700 16725
0 16880 16905
0 16905 16930
12 16495 16520
12 16520 16545
12 16545 16570
12 16570 16595
12 16595 16620
12 16620 16635
12 16635 16650
12 16650 16675
12 16675 16700
12 16700 16725
12 16725 16750
12 16750 16775
12 16775 16790
12 16790 16815
12 16815 16840
12 16840 16855
12 16855 16880
12 16880 16905
12 16905 16930
12 16930 16955
12 16955 16980
12 16980 16995
12 16995 17020
12 17020 17035
12 17035 17060
12 17060 17085
1 16690 16715
1 16715 16730
1 16730 16745
1 16745 16760
1 16760 16775
1 16775 16790
1 16790 16805
1 16805 16820
1 16820 16845
1 16845 16860
1 16860 16875
1 16875 16890
1 16890 16915
1 16915 16940
1 16940 16955
1 16955 16980
1 16980 16995
1 16995 17020
1 17020 17035
1 17035 17060
1 17060 17075
1 17075 17090
1 17090 17105
11 16585 16610
11 16610 16625
11 16625 16640
11 16640 16655
11 16655 16680
11 16680 16705
11 16705 16730
11 16730 16745
11 16745 16770
11 16770 16795
11 16795 16810
11 16810 16835
11 16835 16850
11 16850 16875
11 16875 16890
11 16890 16915
11 16915 16940
11 16940 16955
11 16955 16980
11 16980 16995
11 16995 17020
11 17020 17035
11 17035 17060
11 17060 17085
11 17085 17110
11 17110 17125
11 17125 17150
11 17150 17175
13 16400 16425
13 16425 16440
13 16440 16465
13 16465 16480
13 16480 16505
13 16505 16530
13 16530 16555
13 16555 16580
13 16580 16595
13 16595 16610
13 16610 16635
13 16635 16650
13 16650 16675
13 16675 16700
13 16700 16725
13 16725 16750
13 16750 16775
13 16775 16790
13 16790 16805
13 16805 16830
13 16830 16855
13 16855 16880
13 16880 16895
13 16895 16920
13 16920 16945
13 16945 16970
13 16970 16985
13 16985 17000
13 17000 17025
13 17025 17050
13 17050 17075
13 17075 17100
13 17100 17125
13 17125 17150
13 17150 17165
14 16650 16675
14 16675 16690
14 16690 16715
14 16715 16730
14 16730 16755
14 16755 16780
14 16780 16805
14 16805 16820
14 16820 16845
14 16845 16870
14 16870 16895
14 16975 16990
14 16990 17015
14 17015 17040
14 17040 17065
14 17065 17090
14 17090 17115
15 16450 16475
15 16475 16490
15 16490 16505
15 16505 16530
15 16530 16555
15 16555 16580
15 16580 16605
15 16605 16630
15 16630 16655
15 16655 16670
15 16670 16695
15 16695 16720
15 16720 16745
15 16745 16760
15 16760 16775
15 16775 16790
15 16790 16805
15 16805 16830
15 16830 16855
15 16855 16880
15 16880 16905
15 16905 16930
15 16930 16955
15 16955 16980
15 16980 17005
15 17005 17030
15 17030 17045
15 17045 17060
15 17060 17075
15 17075 17100
15 17100 17125
0 17040 17065
0 17145 17170
0 17210 17235
2 16535 16550
2 16550 16565
2 16565 16580
2 16580 16605
2 16605 16620
2 16620 16645
2 16645 16670
2 16670 16695
2 16695 16710
2 16710 16735
2 16735 16760
2 16760 16785
2 16785 16810
2 16810 16825
2 16825 16850
2 16850 16875
2 16875 16890
2 16890 16905
2 16905 16920
2 16920 16945
2 16945 16970
2 16970 16995
2 16995 17020
2 17020 17035
2 17035 17050
2 17050 17075
2 17075 17090
2 17090 17115
2 17115 17140
2 17140 17155
2 17155 17170
2 17170 17195
5 16690 16705
5 16705 16720
5 16720 16745
5 16745 16770
5 16770 16795
5 16795 16820
5 16820 16835
5 16835 16850
5 16850 16875
5 16875 16900
5 16900 16915
5 16915 16940
5 16940 16955
5 16955 16980
5 16980 16995
5 16995 17010
5 17010 17035
5 17035 17060
5 17060 17085
5 17085 17100
5 17100 17115
5 17115 17140
5 17140 17165
5 17165 17190
5 17190 17215
5 17215 17240
6 16595 16620
6 16620 16645
6 16645 16660
6 16660 16685
6 16685 16710
6 16710 16725
6 16725 16740
6 16740 16765
6 16765 16790
6 16790 16805
6 16805 16820
6 16820 16835
6 16835 16850
6 16850 16875
6 16875 16890
6 16890 16905
6 16905 16930
6 16930 16955
6 16955 16970
6 16970 16995
6 16995 17020
6 17020 17045
6 17045 17070
6 17070 17095
6 17095 17110
6 17110 17125
6 17125 17150
6 17150 17175
6 17175 17200
6 17200 17225
6 17225 17250
6 17250 17275
3 17035 17050
3 17050 17075
3 17075 17100
3 17100 17125
3 17155 17170
3 17170 17195
3 17195 17220
3 17220 17235
3 17235 17260
3 17260 17285
3 17285 17300
3 17300 17315
3 17315 17340
3 17340 17365
9 16690 16715
9 16715 16740
9 16740 16765
9 16765 16790
9 16790 16805
9 16805 16830
9 16830 16855
9 16855 16870
9 16870 16895
9 16895 16920
9 16920 16945
9 16945 16970
9 16970 16995
9 16995 17020
9 17020 17045
9 17045 17070
9 17070 17095
9 17095 17120
9 17120 17145
9 17145 17160
9 17160 17185
9 17185 17210
9 17210 17225
9 17225 17250
9 17250 17275
9 17275 17300
9 17300 17325
9 17325 17350
9 17350 17365
9 17365 17390
10 16720 16735
10 16735 16760
10 16760 16775
10 16775 16790
10 16790 16815
10 16815 16840
10 16840 16865
10 16865 16890
10 16890 16905
10 16905 16930
10 16930 16955
10 16955 16970
10 16970 16985
10 16985 17010
10 17010 17035
10 17035 17050
10 17050 17065
10 17065 17090
10 17090 17115
10 17115 17130
10 17130 17155
10 17155 17170
10 17170 17195
10 17195 17210
10 17210 17235
10 17235 17250
10 17250 17275
10 17275 17300
10 17300 17325
10 17325 17350
7 16910 16935
7 16935 16950
7 16950 16975
7 16975 16990
7 16990 17015
7 17015 17030
7 17030 17045
7 17045 17070
7 17070 17095
7 17095 17110
7 17110 17125
7 17125 17150
7 17150 17165
7 17165 17190
7 17190 17215
7 17215 17240
7 17240 17265
7 17265 17290
7 17290 17315
7 17315 17340
7 17340 17365
7 17365 17390
7 17390 17415
7 17415 17430
8 16950 16965
8 16965 16980
8 16980 17005
8 17005 17020
8 17020 17045
8 17045 17070
8 17070 17095
8 17095 17120
8 17120 17145
8 17145 17160
8 17160 17175
8 17175 17200
8 17200 17225
8 17225 17240
8 17240 17265
8 17265 17290
8 17290 17305
8 17305 17330
8 17330 17345
8 17345 17360
8 17360 17385
8 17385 17400
8 17400 17425
8 17425 17450
8 17450 17465
8 17465 17490
8 17490 17505
1 17105 17130
1 17130 17145
1 17145 17170
1 17170 17185
1 17185 17200
1 17200 17215
1 17215 17230
1 17230 17245
1 17245 17260
1 17260 17275
1 17275 17300
1 17300 17315
1 17315 17330
1 17330 17345
1 17345 17360
1 17360 17375
1 17375 17390
1 17390 17405
1 17405 17430
1 17430 17445
1 17445 17460
1 17460 17475
1 17475 17500
1 17500 17525
1 17525 17540
14 17155 17180
14 17180 17205
14 17205 17230
14 17230 17255
14 17255 17280
14 17280 17305
14 17305 17330
14 17330 17355
14 17390 17415
14 17415 17440
14 17465 17490
0 17290 17315
0 17315 17340
0 17445 17470
0 17540 17565
12 17085 17110
12 17110 17135
12 17135 17160
12 17160 17175
12 17175 17190
12 17190 17205
12 17205 17230
12 17230 17255
12 17255 17280
12 17280 17295
12 17295 17320
12 17320 17345
12 17345 17360
12 17360 17385
12 17385 17400
12 17400 17415
12 17415 17440
12 17440 17465
12 17465 17480
12 17480 17505
12 17505 17530
12 17530 17555
12 17555 17580
12 17580 17605
12 17605 17630
12 17630 17645
5 17240 17265
5 17265 17280
5 17280 17295
5 17295 17320
5 17320 17335
5 17335 17360
5 17360 17385
5 17385 17410
5 17410 17425
5 17425 17450
5 17450 17475
5 17475 17500
5 17500 17525
5 17525 17540
5 17540 17555
5 17555 17580
5 17580 17605
5 17605 17620
5 17620 17645
5 17645 17670
5 17670 17685
11 17175 17200
11 17200 17225
11 17225 17250
11 17250 17265
11 17265 17290
11 17290 17305
11 17305 17330
11 17330 17355
11 17355 17380
11 17380 17395
11 17395 17420
11 17420 17445
11 17445 17470
11 17470 17495
11 17495 17510
11 17510 17535
11 17535 17550
11 17550 17575
11 17575 17600
11 17600 17625
11 17625 17640
11 17640 17655
11 17655 17670
3 17385 17410
3 17410 17435
3 17435 17460
3 17485 17510
3 17530 17555
3 17555 17580
3 17580 17605
6 17275 17290
6 17290 17305
6 17305 17320
6 17320 17345
6 17345 17370
6 17370 17385
6 17385 17400
6 17400 17425
6 17425 17450
6 17450 17465
6 17465 17490
6 17490 17515
6 17515 17530
6 17530 17545
6 17545 17570
6 17570 17585
6 17585 17610
6 17610 17625
6 17625 17650
6 17650 17675
6 17675 17700
6 17700 17725
6 17725 17740
6 17740 17765
15 17125 17150
15 17150 17165
15 17165 17190
15 17190 17205
15 17205 17230
15 17230 17255
15 17255 17270
15 17270 17285
15 17285 17300
15 17300 17325
15 17325 17340
15 17340 17355
15 17355 17380
15 17380 17395
15 17395 17410
15 17410 17425
15 17425 17440
15 17440 17465
15 17465 17480
15 17480 17495
15 17495 17520
15 17520 17535
15 17535 17550
15 17550 17575
15 17575 17590
15 17590 17605
15 17605 17630
15 17630 17655
15 17655 17680
15 17680 17705
15 17705 17730
15 17730 17755
15 17755 17780
15 17780 17795
15 17795 17810
0 17750 17775
2 17195 17210
2 17210 17225
2 17225 17250
2 17250 17275
2 17275 17300
2 17300 17315
2 17315 17340
2 17340 17365
2 17365 17390
2 17390 17415
2 17415 17440
2 17440 17455
2 17455 17470
2 17470 17495
2 17495 17520
2 17520 17535
2 17535 17550
2 17550 17575
2 17575 17590
2 17590 17615
2 17615 17640
2 17640 17655
2 17655 17670
2 17670 17695
2 17695 17720
2 17720 17745
2 17745 17760
2 17760 17785
2 17785 17810
2 17810 17835
2 17835 17860
7 17430 17445
7 17445 17460
7 17460 17475
7 17475 17500
7 17500 17515
7 17515 17530
7 17530 17545
7 17545 17560
7 17560 17575
7 17575 17590
7 17590 17615
7 17615 17640
7 17640 17665
7 17665 17680
7 17680 17695
7 17695 17720
7 17720 17735
7 17735 17750
7 17750 17765
7 17765 17790
7 17790 17805
7 17805 17830
7 17830 17845
7 17845 17860
7 17860 17885
10 17350 17375
10 17375 17400
10 17400 17425
10 17425 17440
10 17440 17455
10 17455 17480
10 17480 17505
10 17505 17520
10 17520 17545
10 17545 17570
10 17570 17595
10 17595 17610
10 17610 17635
10 17635 17660
10 17660 17675
10 17675 17700
10 17700 17725
10 17725 17750
10 17750 17775
10 17775 17790
10 17790 17805
10 17805 17830
10 17830 17855
10 17855 17870
10 17870 17895
10 17895 17920
13 17165 17180
13 17180 17205
13 17205 17230
13 17230 17245
13 17245 17270
13 17270 17285
13 17285 17310
13 17310 17335
13 17335 17360
13 17360 17385
13 17385 17410
13 17410 17435
13 17435 17460
13 17460 17475
13 17475 17500
13 17500 17525
13 17525 17540
13 17540 17555
13 17555 17580
13 17580 17605
13 17605 17630
13 17630 17655
13 17655 17680
13 17680 17705
13 17705 17730
13 17730 17755
13 17755 17780
13 17780 17795
13 17795 17810
13 17810 17835
13 17835 17860
1 17540 17555
1 17555 17570
1 17570 17585
1 17585 17600
1 17600 17615
1 17615 17630
1 17630 17645
1 17645 17660
1 17660 17675
1 17675 17690
1 17690 17705
1 17705 17720
1 17720 17745
1 17745 17770
1 17770 17785
1 17785 17810
1 17810 17825
1 17825 17840
1 17840 17855
1 17855 17870
1 17870 17895
1 17895 17920
9 17390 17405
9 17405 17430
9 17430 17445
9 17445 17470
9 17470 17495
9 17495 17520
9 17520 17545
9 17545 17560
9 17560 17585
9 17585 17610
9 17610 17625
9 17625 17650
9 17650 17675
9 17675 17690
9 17690 17715
9 17715 17740
9 17740 17755
9 17755 17780
9 17780 17805
9 17805 17830
9 17830 17845
9 17845 17870
9 17870 17885
9 17885 17910
9 17910 17935
9 17935 17960
9 17960 17985
9 17985 18010
14 17540 17565
14 17600 17615
14 17615 17640
14 17640 17665
14 17665 17690
14 17690 17705
14 17705 17730
14 17730 17755
14 17775 17800
14 17800 17825
14 17825 17850
14 17850 17875
14 17875 17890
14 17890 17915
14 17930 17955
0 17865 17890
3 17785 17800
3 17800 17815
3 17815 17840
3 17915 17940
3 17940 17965
3 17965 17990
8 17505 17530
8 17530 17555
8 17555 17570
8 17570 17595
8 17595 17620
8 17620 17635
8 17635 17650
8 17650 17675
8 17675 17700
8 17700 17715
8 17715 17730
8 17730 17745
8 17745 17770
8 17770 17795
8 17795 17810
8 17810 17825
8 17825 17850
8 17850 17875
8 17875 17890
8 17890 17905
8 17905 17920
8 17920 17935
8 17935 17950
8 17950 17975
8 17975 18000
8 18000 18015
8 18015 18030
8 18030 18055
8 18055 18080
8 18080 18095
8 18095 18110
8 18110 18125
5 17685 17710
5 17710 17735
5 17735 17760
5 17760 17785
5 17785 17810
5 17810 17835
5 17835 17850
5 17850 17875
5 17875 17890
5 17890 17905
5 17905 17920
